[000:02:52;21] . 
[000:04:45;17] CANDIDATES ARE SAYING.
[000:04:47;13] I WILL INVITE YOU TO APPLAUD, 
[000:04:49;13] HOWEVER, AT THIS MOMENT AS WE 
[000:04:51;11] WELCOME THE CANDIDATES, 
[000:04:58;19] DEMOCRATIC NOMINEE FOR 
[000:04:59;17] PRESIDENT OF THE UNITED STATES
[000:05:00;11] HILLARY CLINTON, AND REPUBLICAN
[000:05:01;05] NOMINEE FOR PRESIDENT OF THE 
[000:05:01;28] UNITED STATES, DONALD J. TRUMP.
[000:05:04;12] [CHEERING AND APPLAUSE] 
[000:05:18;19] DONALD TRUMP:  GOOD LUCK TO 
[000:05:20;24] YOU.
[000:05:29;23] LESTER HOLT:  WELL, I DON'T 
[000:05:30;15] EXPECT US TO COVER ALL THE 
[000:05:32;25] ISSUES OF THIS CAMPAIGN TONIGHT
[000:05:34;03] BUT I REMIND EVERYONE THERE ARE
[000:05:37;02] TWO MORE PRESIDENTIAL DEBATES 
[000:05:38;25] SCHEDULED.
[000:05:39;08] WE WILL FOCUS ON THE ISSUES 
[000:05:41;00] VOTERS TELL US ARE MOST 
[000:05:42;02] IMPORTANT.
[000:05:42;27] I AM HONORED TO HAVE THIS ROLE 
[000:05:43;28] BUT THIS EVENING BELONGS TO THE
[000:05:45;09] CANDIDATES AND JUST AS 
[000:05:46;08] IMPORTANT TO THE AMERICAN 
[000:05:47;07] PEOPLE, CANDIDATES, WE LOOK 
[000:05:48;08] FORWARD TO HEARING YOU 
[000:05:50;03] ARTICULATE YOUR POLICIES AND 
[000:05:52;03] YOUR POSITIONS AS WELL AS YOUR 
[000:05:54;02] VISIONS AND YOUR VALUES.
[000:05:55;06] SO LET'S BEGIN.
[000:05:57;07] WE'RE CALLING THIS OPENING 
[000:05:58;09] SEGMENT "ACHIEVING PROSPERITY" 
[000:06:00;10] AND CENTRAL TO THAT IS JOBS.
[000:06:03;03] THERE ARE TWO ECONOMIC 
[000:06:04;07] REALITIES IN AMERICA TODAY.
[000:06:05;12] THERE'S BEEN A RECORD SIX 
[000:06:07;09] STRAIGHT YEARS OF JOB GROWTH 
[000:06:08;16] AND NEW CENSUS NUMBERS SHOW 
[000:06:11;12] INCOMES HAVE INCREASED AT A 
[000:06:12;12] RECORD RATE AFTER YEARS OF 
[000:06:14;10] STAGNATION.
[000:06:15;10] HOWEVER, INCOME INEQUALITY 
[000:06:17;13] REMAINS SIGNIFICANT AND NEARLY 
[000:06:18;13] HALF OF AMERICANS ARE LIVING 
[000:06:20;12] PAYCHECK TO PAYCHECK.
[000:06:21;19] BEGINNING WITH YOU SECRETARY 
[000:06:23;19] CLINTON, WHY ARE YOU A BETTER 
[000:06:24;25] CHOICE THAN YOUR OPPONENT TO 
[000:06:26;21] CREATE THE KINDS OF JOBS THAT 
[000:06:27;24] WILL PUT MORE MONEY INTO THE 
[000:06:30;19] POCKETS OF AMERICAN WORKERS? 
[000:06:31;18] HILLARY CLINTON: THANK YOU 
[000:06:32;20] LESTER, AND THANKS TO HOFSTRA 
[000:06:34;00] FOR HOSTING US.
[000:06:36;22] THE CENTRAL QUESTION IN THIS 
[000:06:38;21] ELECTION IS REALLY WHAT KIND OF
[000:06:40;21] COUNTRY WE WANT TO BE AND WHAT 
[000:06:42;23] KIND OF FUTURE WE'LL BUILD 
[000:06:43;26] TOGETHER.
[000:06:44;22] TODAY IS MY GRANDDAUGHTER'S 
[000:06:46;03] SECOND BIRTHDAY, SO I THINK 
[000:06:47;29] ABOUT THIS A LOT.
[000:06:48;27] FIRST, WE HAVE TO BUILD AN 
[000:06:50;04] ECONOMY THAT WORKS FOR 
[000:06:51;25] EVERYONE, NOT JUST THOSE AT THE
[000:06:53;25] TOP.
[000:06:54;05] THAT MEANS WE NEED NEW JOBS, 
[000:06:56;01] GOOD JOBS, WITH RISING INCOMES.
[000:06:58;02] I WANT US TO INVEST IN YOU.
[000:07:00;00] I WANT US TO INVEST IN YOUR 
[000:07:02;01] FUTURE.
[000:07:02;13] THAT MEANS JOBS IN 
[000:07:04;00] INFRASTRUCTURE, IN ADVANCED 
[000:07:06;03] MANUFACTURING, INNOVATION AND 
[000:07:08;04] TECHNOLOGY CLEAN RENEWABLE 
[000:07:10;03] ENERGY AND SMALL BUSINESS, 
[000:07:12;05] BECAUSE MOST OF THE NEW JOBS 
[000:07:13;16] WILL COME FROM SMALL BUSINESS.
[000:07:15;06] WE ALSO HAVE TO MAKE THE 
[000:07:17;14] ECONOMY FAIRER.
[000:07:18;11] THAT STARTS WITH RAISING THE 
[000:07:20;10] NATIONAL MINIMUM WAGE AND ALSO 
[000:07:23;12] GUARANTEE FINALLY EQUAL PAY FOR
[000:07:27;12] WOMENS' WORK.
[000:07:27;27] I ALSO WANT TO SEE MORE 
[000:07:29;13] COMPANIES DO PROFIT SHARING.
[000:07:30;19] IF YOU HELP CREATE THE PROFITS
[000:07:32;14] YOU SHOULD BE ABLE TO SHARE IN 
[000:07:33;16] THEM, NOT JUST THE EXECUTIVES 
[000:07:34;22] AT THE TOP.
[000:07:35;17] AND I WANT US TO DO MORE TO 
[000:07:38;16] SUPPORT PEOPLE WHO ARE 
[000:07:39;22] STRUGGLING TO BALANCE FAMILY 
[000:07:41;27] AND WORK.
[000:07:42;18] I'VE HEARD FROM SO MANY OF YOU 
[000:07:44;20] ABOUT THE DIFFICULT CHOICES YOU
[000:07:46;21] FACE AND THE STRESSES THAT 
[000:07:48;22] YOU'RE UNDER.
[000:07:49;21] SO LET'S HAVE PAID FAMILY 
[000:07:51;20] LEAVE, EARNED SICK DAYS.
[000:07:52;24] LET'S BE SURE WE HAVE 
[000:07:53;28] AFFORDABLE CHILD CARE AND 
[000:07:55;23] DEBT-FREE COLLEGE.
[000:07:56;10] HOW ARE WE GOING TO DO IT? 
[000:07:57;25] WE'RE GOING TO DO IT BY HAVING 
[000:07:59;24] THE WEALTHY PAY THEIR FAIR 
[000:08:01;02] SHARE AND CLOSE THE CORPORATE 
[000:08:02;24] LOOPHOLES.
[000:08:03;25] FINALLY, WE TONIGHT ARE ON THE 
[000:08:06;09] STAGE TOGETHER, DONALD TRUMP 
[000:08:08;28] AND I.
[000:08:09;29] DONALD, IT'S GOOD TO BE WITH 
[000:08:13;00] YOU.
[000:08:13;10] WE'RE GOING TO HAVE A DEBATE 
[000:08:15;04] WHERE WE ARE TALKING ABOUT THE 
[000:08:16;17] IMPORTANT ISSUES FACING OUR 
[000:08:19;02] COUNTRY.
[000:08:19;14] YOU HAVE TO JUDGE US.
[000:08:21;03] WHO CAN SHOULDER THE IMMENSE 
[000:08:23;03] AWESOME RESPONSIBILITIES OF THE
[000:08:25;02] PRESIDENCY? 
[000:08:25;16] WHO CAN PUT INTO ACTION THE 
[000:08:27;09] PLANS THAT WILL MAKE YOUR LIFE 
[000:08:29;06] BETTER? 
[000:08:29;18] I HOPE THAT I WILL BE ABLE TO 
[000:08:32;06] EARN YOUR VOTE ON NOVEMBER 8TH.
[000:08:37;08] LESTER HOLT:  SECRETARY 
[000:08:37;28] CLINTON, THANK YOU.
[000:08:38;17] MR. TRUMP, THE SAME QUESTION TO
[000:08:40;17] YOU.
[000:08:40;27] IT'S ABOUT PUTTING MORE MONEY 
[000:08:42;13] INTO AMERICAN WORKERS.
[000:08:43;17] YOU HAVE TWO MINUTES.
[000:08:45;13] DONALD TRUMP: THANK YOU, 
[000:08:46;13] LESTER.
[000:08:46;25] OUR JOBS ARE FLEEING THE 
[000:08:47;17] COUNTRY.
[000:08:47;29] THEY'RE GOING TO MEXICO.
[000:08:48;19] THEY'RE GOING TO MANY OTHER 
[000:08:50;18] COUNTRIES.
[000:08:51;01] YOU LOOK AT WHAT CHINA IS DOING
[000:08:52;18] TO OUR COUNTRY IN TERMS OF 
[000:08:53;20] MAKING OUR PRODUCT.
[000:08:54;20] THEY'RE DEVALUING THEIR 
[000:08:57;16] CURRENCY AND THERE'S NOBODY IN 
[000:08:58;16] OUR GOVERNMENT TO FIGHT THEM 
[000:08:59;18] AND WE HAVE A VERY GOOD FIGHT 
[000:09:00;22] AND WE HAVE A WINNING FIGHT, 
[000:09:01;27] BECAUSE THEY'RE USING OUR 
[000:09:03;18] COUNTRY AS A PIGGYBANK TO 
[000:09:05;19] REBUILD CHINA, AND MANY OTHER 
[000:09:06;27] COUNTRIES ARE DOING THE SAME 
[000:09:08;21] THING.
[000:09:09;02] SO WE'RE LOSING OUR GOOD JOBS, 
[000:09:10;28] SO MANY OF THEM.
[000:09:11;27] WHEN YOU LOOK AT WHAT'S 
[000:09:13;22] HAPPENING IN MEXICO, A FRIEND 
[000:09:15;26] OF MINE WHO BUILDS PLANTS SAID 
[000:09:17;24] IT'S THE EIGHTH WONDER OF THE 
[000:09:19;23] WORLD.
[000:09:20;04] THEY'RE BUILDING SOME OF THE 
[000:09:21;25] BIGGEST PLANTS ANYWHERE IN THE 
[000:09:22;26] WORLD, SOME OF THE MOST 
[000:09:24;05] SOPHISTICATED AND BEST PLANTS.
[000:09:25;26] WITH THE UNITED STATES AS YOU 
[000:09:27;01] SAID NOT SO MUCH.
[000:09:28;04] SO FORD IS LEAVING.
[000:09:30;03] YOU SEE THAT THERE'S DIVISION, 
[000:09:33;29] LEAVING.
[000:09:34;11] THOUSANDS OF JOBS, LEAVING 
[000:09:36;04] MICHIGAN, LEAVING OHIO.
[000:09:37;05] THEY'RE ALL LEAVING AND WE 
[000:09:38;10] CAN'T ALLOW IT TO HAPPEN 
[000:09:40;07] ANYMORE.
[000:09:40;19] AS FAR AS CHILDCARE IS 
[000:09:42;05] CONCERNED AND SO MANY OTHER 
[000:09:43;08] THINGS I THINK HILLARY AND I 
[000:09:44;18] AGREE ON THAT.
[000:09:45;10] WE PROBABLY DISAGREE A LITTLE 
[000:09:46;19] BIT AS TO NUMBERS AND AMOUNTS 
[000:09:48;12] AND WHAT WE'RE GOING TO DO, BUT
[000:09:50;12] PERHAPS WE'LL BE TALKING ABOUT 
[000:09:51;18] THAT LATER.
[000:09:52;11] BUT WE HAVE TO STOP OUR JOBS 
[000:09:55;12] FROM BEING STOLEN FROM US.
[000:09:58;10] WE HAVE TO STOP OUR COMPANIES 
[000:10:00;16] FROM LEAVING THE UNITED STATES 
[000:10:02;13] AND WITH IT, FIRING ALL OF 
[000:10:05;13] THEIR PEOPLE.
[000:10:05;28] ALL YOU HAVE TO DO IS TAKE A 
[000:10:07;13] LOOK AT CARRIER AIR 
[000:10:09;13] CONDITIONING IN INDIANAPOLIS.
[000:10:11;21] THEY FIRED 1400 PEOPLE.
[000:10:13;16] THEY'RE GOING TO MEXICO.
[000:10:14;12] SO MANY HUNDREDS AND HUNDREDS 
[000:10:15;13] OF COMPANIES ARE DOING THIS.
[000:10:17;16] WE CANNOT LET IT HAPPEN.
[000:10:19;15] UNDER MY PLAN, I WILL BE 
[000:10:22;18] REDUCING TAXES TREMENDOUSLY 
[000:10:24;22] FROM 35% TO 15% FOR COMPANIES, 
[000:10:28;22] SMALL AND BIG BUSINESSES.
[000:10:30;18] THAT'S GOING TO BE A JOB 
[000:10:31;21] CREATOR LIKE WE HAVEN'T SEEN 
[000:10:33;20] SINCE RONALD REAGAN.
[000:10:34;26] IT'S GOING TO BE A BEAUTIFUL 
[000:10:36;01] THING TO WATCH.
[000:10:36;25] COMPANIES WILL COME.
[000:10:38;18] THEY WILL BUILD.
[000:10:39;04] THEY WILL EXPAND.
[000:10:39;27] NEW COMPANIES WILL START, AND I
[000:10:41;20] LOOK VERY, VERY MUCH FORWARD TO
[000:10:42;29] DOING IT.
[000:10:43;24] WE HAVE TO RENEGOTIATE OUR 
[000:10:45;00] TRADE DEALS AND WE HAVE TO STOP
[000:10:47;23] THESE COUNTRIES FROM STEALING 
[000:10:49;01] OUR COMPANIES AND OUR JOBS.
[000:10:52;27] LESTER HOLT:  SECRETARY 
[000:10:53;17] CLINTON, WOULD YOU LIKE TO 
[000:10:54;26] RESPOND? 
[000:10:55;09] HILLARY CLINTON: I THINK THAT 
[000:10:56;02] RAID IS AN IMPORTANT ISSUE.
[000:10:57;00] OF COURSE, WE ARE 5% OF THE 
[000:10:58;03] WORLD'S POPULATION.
[000:10:59;05] WE HAVE TO TRADE WITH THE OTHER
[000:11:00;06] 95%, AND WE NEED TO HAVE SMART
[000:11:03;01] FAIR TRADE DEALS.
[000:11:04;28] WE ALSO, THOUGH, NEED TO HAVE A
[000:11:06;29] TAX SYSTEM THAT REWARDS WORK 
[000:11:09;02] AND NOT JUST FINANCIAL 
[000:11:11;02] TRANSACTIONS.
[000:11:11;17] AND THE KIND OF PLAN THAT 
[000:11:13;09] DONALD HAS PUT FORTH WOULD BE 
[000:11:15;07] TRICKLE-DOWN ECONOMICS ALL OVER
[000:11:16;18] AGAIN.
[000:11:17;08] IN FACT, IT WOULD BE THE MOST 
[000:11:18;13] EXTREME VERSION, THE BIGGEST 
[000:11:21;11] TAX CUTS FOR THE TOP PERCENT OF
[000:11:23;16] THE PEOPLE IN THIS COUNTRY THAN
[000:11:25;10] WE'VE EVER HAD.
[000:11:26;10] I CALL IT TRUMPED-UP TRICKLE 
[000:11:29;09] DOWN, BECAUSE THAT'S EXACTLY 
[000:11:30;16] WHAT IT WOULD BE.
[000:11:31;12] THAT IS NOT HOW WE GROW THE 
[000:11:33;16] ECONOMY.
[000:11:33;28] WE JUST HAVE A DIFFERENT VIEW 
[000:11:35;22] ABOUT WHAT'S BEST FOR GROWING 
[000:11:37;19] THE ECONOMY, HOW WE MAKE 
[000:11:38;19] INVESTMENTS THAT WILL ACTUALLY 
[000:11:40;16] PRODUCE JOBS AND RISING 
[000:11:42;15] INCOMES.
[000:11:42;27] I THINK WE COME AT IT FROM 
[000:11:44;19] SOMEWHAT DIFFERENT 
[000:11:45;17] PERSPECTIVES.
[000:11:47;16] I UNDERSTAND THAT.
[000:11:48;18] YOU KNOW DONALD WAS VERY 
[000:11:50;18] FORTUNATE IN HIS LIFE, AND 
[000:11:51;23] THAT'S ALL TO HIS BENEFIT.
[000:11:53;23] HE STARTED HIS BUSINESS WITH 
[000:11:55;26] $14 MILLION, BORROWED FROM HIS 
[000:11:57;21] FATHER, AND HE REALLY BELIEVES 
[000:11:59;24] THAT THE MORE YOU HELP WEALTHY 
[000:12:01;24] PEOPLE, THE BETTER OFF WE'LL 
[000:12:02;29] BE, AND THAT EVERYTHING WILL 
[000:12:04;04] WORK OUT FROM THERE.
[000:12:04;29] I DON'T BUY THAT.
[000:12:06;25] I HAVE A DIFFERENT EXPERIENCE.
[000:12:08;01] MY FATHER WAS A SMALL 
[000:12:09;26] BUSINESSMAN.
[000:12:10;10] HE WORKED REALLY HARD.
[000:12:11;25] HE PRINTED DRAPERY FABRICS ON 
[000:12:14;01] LONG TABLES WHERE YOU PULL OUT 
[000:12:16;02] THOSE FABRICS AND HE WENT DOWN 
[000:12:17;27] WITH THE SILK SCREEN AND DUMPED
[000:12:19;02] THE PAINT IN AND TOOK THE 
[000:12:21;02] SQUEEGEE AND KEPT GOING.
[000:12:22;04] SO WHAT I BELIEVE IS THE MORE 
[000:12:24;00] WE CAN DO FOR THE MIDDLE CLASS,
[000:12:25;02] THE MORE WE CAN INVEST IN YOU, 
[000:12:27;03] YOUR EDUCATION, YOUR SKILLS, 
[000:12:30;03] YOUR FUTURE, THE BETTER WE WILL
[000:12:31;18] BE OFF AND THE BETTER WE'LL 
[000:12:33;05] GROW.
[000:12:33;16] THAT'S THE KIND OF ECONOMY I 
[000:12:34;15] WANT US TO SEE AGAIN. 
[000:12:36;12] LESTER HOLT:  LET ME FOLLOW UP 
[000:12:37;12] WITH MR. TRUMP, IF I CAN.
[000:12:38;14] YOU TALKED ABOUT CREATING 25 
[000:12:40;08] MILLION JOBS AND YOU PROMISED 
[000:12:41;16] TO BRING BACK MILLIONS OF JOBS 
[000:12:43;10] FOR AMERICANS.
[000:12:43;25] HOW ARE WE GOING TO BRING BACK 
[000:12:45;11] THE INDUSTRIES THAT HAVE LEFT 
[000:12:46;13] THIS COUNTRY FOR CHEAPER LABOR 
[000:12:48;11] OVERSEAS? 
[000:12:49;28] HOW SPECIFICALLY ARE YOU GOING 
[000:12:50;22] TO TELL AMERICAN MANUFACTURERS 
[000:12:51;24] THAT YOU HAVE TO COME BACK? 
[000:12:53;13] DONALD TRUMP: WELL, FOR ONE 
[000:12:54;13] THING, AND BEFORE WE START ON 
[000:12:56;15] THAT, MY FATHER GAVE ME A VERY 
[000:12:57;21] SMALL LOAN IN 1975 AND I BUILT 
[000:12:59;19] IT INTO A COMPANY THAT'S WORTH 
[000:13:01;18] MANY, MANY BILLIONS OF DOLLARS 
[000:13:03;13] WITH SOME OF THE GREATEST 
[000:13:04;13] ASSETS IN THE WORLD, AND I SAY 
[000:13:06;18] THAT ONLY BECAUSE THAT'S THE 
[000:13:07;26] KIND OF THINKING OUR COUNTRY 
[000:13:09;13] NEEDS.
[000:13:09;24] OUR COUNTRY IS IN DEEP TROUBLE.
[000:13:10;20] WE DON'T KNOW WHAT WE'RE DOING 
[000:13:11;28] WHEN IT COMES TO DEVALUATIONS 
[000:13:13;22] AND ALL OF THESE COUNTRIES ALL 
[000:13:14;23] OVER THE WORLD, ESPECIALLY 
[000:13:15;25] CHINA, THEY'RE THE BEST, THE 
[000:13:17;19] BEST EVER AT IT.
[000:13:19;16] WHAT THEY'RE DOING TO US IS A 
[000:13:21;16] VERY, VERY SAD THING.
[000:13:22;21] SO WE HAVE TO DO THAT.
[000:13:23;19] WE HAVE TO RENEGOTIATE OUR 
[000:13:25;20] TRADE DEALS.
[000:13:26;04] AND LESTER, THEY ARE TAKING OUR
[000:13:27;24] JOBS.
[000:13:28;17] THEY'RE GIVING INCENTIVES.
[000:13:30;19] THEY'RE DOING THINGS THAT 
[000:13:31;22] FRANKLY WE DON'T DO.
[000:13:32;20] LET ME GIVE YOU THE EXAMPLE OF 
[000:13:34;20] MEXICO.
[000:13:35;02] THEY HAVE A VAT TAX.
[000:13:36;19] WE'RE ON A DIFFERENT SYSTEM.
[000:13:37;23] WHERE WE SELL INTO MEXICO IS A 
[000:13:40;23] TAX.
[000:13:41;03] WHERE THEY SELL AN AUTOMATIC 
[000:13:42;26] 16% APPROXIMATELY.
[000:13:43;22] WHEN THEY SELL INTO US, THERE'S
[000:13:45;00] NO TAX.
[000:13:45;26] IT'S A DEFECTIVE AGREEMENT.
[000:13:49;24] IT'S BEEN DEFECTIVE A LONG 
[000:13:51;00] TIME, MANY YEARS, BUT THE 
[000:13:52;24] POLITICIANS HAVEN'T DONE 
[000:13:53;15] ANYTHING ABOUT IT.
[000:13:54;02] NOW, IN ALL FAIRNESS TO 
[000:13:55;27] SECRETARY CLINTON, YES -- IS 
[000:13:58;00] THAT OKAY? 
[000:13:58;28] GOOD.
[000:13:59;09] I WANT YOU TO BE VERY HAPPY.
[000:14:02;24] [LAUGHTER] 
[000:14:03;08] IT'S VERY IMPORTANT TO ME.
[000:14:03;29] IN ALL FAIRNESS TO SECRETARY 
[000:14:06;05] CLINTON, WHEN SHE STARTED 
[000:14:07;05] TALKING ABOUT THIS, IT WAS 
[000:14:08;04] REALLY VERY RECENTLY, SHE'S 
[000:14:09;08] BEEN DOING THIS FOR 30 YEARS, 
[000:14:11;04] AND WHY HASN'T SHE MADE THE 
[000:14:13;00] AGREEMENTS BETTER? 
[000:14:13;18] THE NAFTA AGREEMENT IS 
[000:14:15;02] DEFECTIVE JUST BECAUSE OF THE 
[000:14:16;05] TAX AND MANY OTHER REASONS, BUT
[000:14:18;03] JUST BECAUSE OF THE TAX 
[000:14:19;03] LESTER HOLT:  LET ME INTERRUPT 
[000:14:21;08] JUST A MOMENT. 
[000:14:21;24] DONALD TRUMP: SECRETARY CLINTON
[000:14:22;18] AND OTHERS, AS POLITICIANS, 
[000:14:24;10] SHOULD HAVE BEEN DOING THIS FOR
[000:14:25;04] YEARS, NOT RIGHT NOW, BECAUSE 
[000:14:26;14] OF THE FACT THAT WE'VE CREATED 
[000:14:27;10] A MOVEMENT.
[000:14:28;10] THEY SHOULD HAVE BEEN DOING 
[000:14:29;02] THIS FOR YEARS.
[000:14:30;08] WHAT'S HAPPENED TO OUR JOBS AND
[000:14:32;11] OUR COUNTRY AND OUR ECONOMY 
[000:14:34;14] GENERALLY IS, LOOK, WE OWE $20 
[000:14:40;07] TRILLION.
[000:14:40;20] WE CANNOT DO IT ANY LONGER, 
[000:14:43;10] LESTER. 
[000:14:43;22] LESTER HOLT:  BACK TO THE 
[000:14:44;13] QUESTION, THOUGH.
[000:14:45;01] HOW DO YOU SPECIFICALLY BRING 
[000:14:45;24] BACK JOBS, AMERICAN 
[000:14:47;12] MANUFACTURERS, HOW DO YOU MAKE 
[000:14:48;11] THEM BRING THE JOBS BACK? 
[000:14:49;15] DONALD TRUMP: THE FIRST THING 
[000:14:50;13] YOU DO IS DON'T LET THE JOBS 
[000:14:51;22] LEAVE.
[000:14:52;03] THE COMPANIES ARE LEAVING.
[000:14:53;13] I COULD NAME -- THERE ARE 
[000:14:54;23] THOUSANDS OF THEM.
[000:14:55;18] THEY'RE LEAVING.
[000:14:56;19] AND THEY'RE LEAVING IN BIGGER 
[000:14:58;14] NUMBERS THAN EVER.
[000:14:59;01] AND WHAT YOU DO IS YOU SAY, 
[000:15:00;18] FINE YOU WANT TO GO TO MEXICO 
[000:15:01;29] OR SOME OTHER COUNTRY, GOOD 
[000:15:03;15] LUCK.
[000:15:03;26] WE WISH YOU A LOT OF LUCK.
[000:15:04;18] BUT IF YOU THINK YOU'RE GOING 
[000:15:06;21] TO MAKE YOUR AIR CONDITIONERS 
[000:15:07;28] OR YOUR CARS OR YOUR COOKIES OR
[000:15:10;18] WHATEVER YOU MAKE AND BRING 
[000:15:11;28] THEM INTO OUR COUNTRY WITHOUT A
[000:15:13;17] TAX, YOU'RE WRONG AND ONCE YOU 
[000:15:15;19] SAY YOU'RE GOING TO HAVE TO TAX
[000:15:16;24] THEM COMING IN -- AND OUR 
[000:15:17;27] POLITICIANS NEVER DO THIS, 
[000:15:19;26] BECAUSE THEY HAVE SPECIAL 
[000:15:21;00] INTERESTS AND THE SPECIAL 
[000:15:22;03] INTERESTS WANT THOSE COMPANIES 
[000:15:23;03] TO LEAVE BECAUSE IN MANY CASES 
[000:15:24;02] THEY OWN THE COMPANIES.
[000:15:26;01] SO WHAT I'M SAYING IS WE CAN 
[000:15:27;00] STOP THEM FROM LEAVING.
[000:15:28;24] WE HAVE TO STOP THEM FROM 
[000:15:30;00] LEAVING, AND THAT'S A BIG, BIG 
[000:15:31;29] FACTOR. 
[000:15:32;11] LESTER HOLT:  LET ME LET 
[000:15:34;27] SECRETARY CLINTON IN. 
[000:15:35;29] HILLARY CLINTON: WELL, LET'S 
[000:15:36;24] STOP FOR A SECOND AND REMEMBER 
[000:15:38;25] WHERE WE WERE EIGHT YEARS AGO.
[000:15:41;01] WE HAD THE WORST FINANCIAL 
[000:15:42;03] CRISIS, THE GREAT RECESSION, 
[000:15:43;07] THE WORST SINCE THE 1930S.
[000:15:46;00] THAT WAS, IN LARGE PART, 
[000:15:47;07] BECAUSE OF TAX POLICIES THAT 
[000:15:49;02] SLASHED TAXES ON THE WEALTHY, 
[000:15:51;07] FAILED TO INVEST IN THE MIDDLE 
[000:15:54;04] CLASS, TOOK THEIR EYES OFF OF 
[000:15:59;03] WALL STREET AND CREATED A 
[000:16:00;04] PERFECT STORM.
[000:16:00;19] IN FACT, DONALD WAS ONE OF THE 
[000:16:02;09] PEOPLE WHO ROOTED FOR THE 
[000:16:03;11] HOUSING CRISIS.
[000:16:04;08] HE SAID BACK IN 2006: GEE I 
[000:16:08;08] HOPE IT DOES COLLAPSE BECAUSE 
[000:16:09;15] THEN I CAN GO IN AND BUY SOME 
[000:16:11;09] AND MAKE SOME MONEY.
[000:16:12;08] WELL IT DID COLLAPSE. 
[000:16:14;11] DONALD TRUMP: THAT'S CALLED 
[000:16:15;05] BUSINESS, BY THE WAY. 
[000:16:16;11] HILLARY CLINTON: 9 MILLION 
[000:16:17;07] PEOPLE LOST THEIR JOBS.
[000:16:18;08] 5 MILLION PEOPLE LOST THEIR 
[000:16:20;07] HOMES, AND 13 TRILLION DOLLARS 
[000:16:22;14] IN FAMILY WEALTH WAS WIPED OUT.
[000:16:24;11] NOW, WE HAVE COME BACK FROM 
[000:16:26;20] THAT ABYSS, AND IT HAS NOT BEEN
[000:16:30;02] EASY SO WE'RE NOW ON THE 
[000:16:31;17] PRECIPICE OF HAVING A 
[000:16:33;14] POTENTIALLY MUCH BETTER 
[000:16:35;19] ECONOMY, BUT THE LAST THING WE 
[000:16:37;16] NEED TO DO IS TO GO BACK TO THE
[000:16:39;15] POLICIES THAT FAILED US IN THE 
[000:16:41;19] FIRST PLACE.
[000:16:42;20] INDEPENDENT EXPERTS HAVE LOOKED
[000:16:43;22] AT WHAT I'VE PROPOSED AND 
[000:16:45;18] LOOKED AT WHAT DONALD'S 
[000:16:47;21] PROPOSED AND BASICALLY THEY'VE
[000:16:49;01] SAID THIS, THAT IF HIS TAX 
[000:16:52;21] PLAN -- WHICH WOULD BLOW UP THE
[000:16:54;21] DEBT BY OVER $5 TRILLION, AND 
[000:16:59;01] WOULD IN SOME INSTANCES 
[000:17:01;01] DISADVANTAGE MIDDLE CLASS 
[000:17:02;26] FAMILIES COMPARED TO THE 
[000:17:04;27] WEALTHY, WERE TO GO INTO 
[000:17:06;01] EFFECT WE WOULD LOSE 3.5 
[000:17:08;29] MILLION JOBS AND MAYBE HAVE 
[000:17:10;03] ANOTHER RECESSION.
